Date,Destination,Min Price
2022-02-11,HYD,37.8
2022-02-11,CCU,35.65
2022-02-12,BOM,38.73
2022-02-12,BLR,35.34
2022-02-12,MAA,36.9
2022-02-12,HYD,37.8
2022-02-12,CCU,35.65
2022-02-13,BOM,38.73
2022-02-13,BLR,35.34
2022-02-13,MAA,36.9
2022-02-13,HYD,37.8
2022-02-13,CCU,35.65
2022-02-14,BOM,38.73
2022-02-14,BLR,35.34
2022-02-14,MAA,36.9
2022-02-14,HYD,37.8
2022-02-14,CCU,35.65
2022-02-15,BOM,38.73
2022-02-15,MAA,36.9
2022-02-15,HYD,37.8
2022-02-15,CCU,35.65
2022-02-16,BOM,38.73
2022-02-16,BLR,35.34
2022-02-16,MAA,36.9
2022-02-16,HYD,37.8
2022-02-16,CCU,35.65
2022-02-17,BOM,38.73
2022-02-17,BLR,35.34
2022-02-17,MAA,36.9
2022-02-17,HYD,37.8
2022-02-17,CCU,35.65
2022-02-18,BOM,38.73
2022-02-18,BLR,35.34
2022-02-18,MAA,36.9
2022-02-18,CCU,35.65
2022-02-19,BOM,38.73
2022-02-19,BLR,35.34
2022-02-19,MAA,36.9
2022-02-19,HYD,37.8
2022-02-19,CCU,35.65
2022-02-20,BOM,38.73
2022-02-20,BLR,35.34
2022-02-20,MAA,36.9
2022-02-20,HYD,37.8
2022-02-20,CCU,35.65
2022-02-21,BOM,38.73
2022-02-21,BLR,35.34
2022-02-21,MAA,36.9
2022-02-21,HYD,37.8
2022-02-21,CCU,35.65
2022-02-22,BOM,38.73
2022-02-22,MAA,36.9
2022-02-22,CCU,35.65
2022-02-23,BLR,35.34
2022-02-23,MAA,36.9
2022-02-23,HYD,37.8
2022-02-23,CCU,35.65
2022-02-24,BLR,35.34
2022-02-24,HYD,37.8
2022-02-25,BOM,38.73
2022-02-25,BLR,35.34
2022-02-25,MAA,36.9
2022-02-25,CCU,35.65
2022-02-26,BOM,38.73
2022-02-26,BLR,35.34
2022-02-26,MAA,36.9
2022-02-26,HYD,37.8
2022-02-26,CCU,35.65
2022-02-27,BOM,38.73
2022-02-27,BLR,35.34
2022-02-27,MAA,36.9
2022-02-27,HYD,37.8
2022-02-27,CCU,35.65
2022-02-28,BOM,38.73
2022-02-28,BLR,35.34
2022-02-28,MAA,36.9
2022-02-28,HYD,37.8
2022-02-28,CCU,35.65
2022-03-01,BOM,38.73
2022-03-01,BLR,35.34
2022-03-01,MAA,36.9
2022-03-01,HYD,37.8
2022-03-01,CCU,35.65
2022-03-02,BOM,38.73
2022-03-02,BLR,35.34
2022-03-02,MAA,36.9
2022-03-02,HYD,37.8
2022-03-02,CCU,35.65
2022-03-03,BOM,38.73
2022-03-03,BLR,35.34
2022-03-03,MAA,36.9
2022-03-03,HYD,37.8
2022-03-03,CCU,35.65
2022-03-04,BOM,38.73
2022-03-04,BLR,35.34
2022-03-04,MAA,36.9
2022-03-04,HYD,37.8
2022-03-04,CCU,35.65
2022-03-05,BOM,38.73
2022-03-05,BLR,35.34
2022-03-05,MAA,36.9
2022-03-05,HYD,37.8
2022-03-05,CCU,35.65
2022-03-06,BOM,38.73
2022-03-06,BLR,35.34
2022-03-06,MAA,36.9
2022-03-06,HYD,37.8
2022-03-06,CCU,35.65
2022-03-07,BOM,38.73
2022-03-07,BLR,35.34
2022-03-07,MAA,36.9
2022-03-07,HYD,37.8
2022-03-08,BOM,38.73
2022-03-08,BLR,35.34
2022-03-08,MAA,36.9
2022-03-08,HYD,37.8
2022-03-08,CCU,35.65
2022-03-09,BOM,38.73
2022-03-09,BLR,35.34
2022-03-09,HYD,37.8
2022-03-09,CCU,35.65
2022-03-10,BOM,38.73
2022-03-10,BLR,35.34
2022-03-10,MAA,36.9
2022-03-10,HYD,37.8
2022-03-10,CCU,35.65
2022-03-11,BLR,35.34
2022-03-11,MAA,36.9
2022-03-11,HYD,37.8
2022-03-11,CCU,35.65
2022-03-12,BLR,35.34
2022-03-12,MAA,36.9
2022-03-12,HYD,37.8
2022-03-12,CCU,35.65
2022-03-13,BOM,38.73
2022-03-13,BLR,35.34
2022-03-13,MAA,36.9
2022-03-13,HYD,37.8
2022-03-13,CCU,35.65
2022-03-14,BOM,38.73
2022-03-14,MAA,36.9
2022-03-14,HYD,37.8
2022-03-14,CCU,35.65
2022-03-15,BOM,38.73
2022-03-15,MAA,36.9
2022-03-15,CCU,35.65
2022-03-16,BOM,38.73
2022-03-16,BLR,35.34
2022-03-16,MAA,36.9
2022-03-16,HYD,37.8
2022-03-16,CCU,35.65
2022-03-17,BOM,38.73
2022-03-17,BLR,35.34
2022-03-17,MAA,36.9
